	player	hardWin	clayWin	grassWin	hardLose	clayLose	grassLose
830	Janowicz J.	0.9803921568627451	0.9333333333333333	0.9285714285714286	0.0196078431372549	0.06666666666666667	0.07142857142857142
831	Kunitcin I.	0.5	0.5	0.5	0.5	0.5	0.5
832	Ryderstedt M.	0.8571428571428571	0.8	0.5	0.14285714285714285	0.2	0.5
833	Dodig I.	0.9863013698630136	0.9583333333333334	0.9473684210526315	0.0136986301369863	0.041666666666666664	0.05263157894736842
834	Ouyang B.	0.5	0.5	0.5	0.5	0.5	0.5
835	Rea S.	0.5	0.5	0.5	0.5	0.5	0.5
836	Cox D.	0.5	0.5	0.5	0.5	0.5	0.5
837	Costa A.	0.972972972972973	0.9875	0.5	0.02702702702702703	0.0125	0.5
838	Ymer M.	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5	0.5
839	Mamiit C.	0.9523809523809523	0.75	0.8	0.047619047619047616	0.25	0.2
840	Jun W.	0.5	0.5	0.5	0.5	0.5	0.5
841	Gimeno D.	0.5	0.5	0.5	0.5	0.5	0.5
842	Cabal J.S.	0.5	0.5	0.5	0.5	0.5	0.5
843	Furlan R.	0.75	0.6666666666666666	0.5	0.25	0.3333333333333333	0.5
844	Reix C.	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5	0.5
845	Basilashvili N.	0.8333333333333334	0.8333333333333334	0.75	0.16666666666666666	0.16666666666666666	0.25
846	Lapentti N.	0.9777777777777777	0.9873417721518988	0.875	0.022222222222222223	0.012658227848101266	0.125
847	Dupre T.	0.5	0.5	0.5	0.5	0.5	0.5
848	King-Turner D.	0.5	0.5	0.5	0.5	0.5	0.5
849	Ager J.	0.5	0.5	0.5	0.5	0.5	0.5
850	Carlson A.	0.5	0.5	0.5	0.5	0.5	0.5
851	Beck A.	0.8333333333333334	0.875	0.8571428571428571	0.16666666666666666	0.125	0.14285714285714285
852	Verdasco F.	0.9939759036144579	0.9945054945054945	0.9761904761904762	0.006024096385542169	0.005494505494505495	0.023809523809523808
853	Peliwo F.	0.6666666666666666	0.6666666666666666	0.5	0.3333333333333333	0.3333333333333333	0.5
854	Sampras P.	0.9787234042553191	0.8571428571428571	0.9	0.02127659574468085	0.14285714285714285	0.1
855	Kutsenko V.	0.75	0.6666666666666666	0.5	0.25	0.3333333333333333	0.5
856	Prinosil D.	0.8571428571428571	0.5	0.8333333333333334	0.14285714285714285	0.5	0.16666666666666666
857	Pioline C.	0.9285714285714286	0.9230769230769231	0.8333333333333334	0.07142857142857142	0.07692307692307693	0.16666666666666666
858	Linzer M.	0.5	0.5	0.5	0.5	0.5	0.5
859	Coutelot N.	0.5	0.9285714285714286	0.5	0.5	0.07142857142857142	0.5
860	Stepanek M.	0.5	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5
861	Renavand N.	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5	0.5
862	Sandbichler A.	0.5	0.5	0.5	0.5	0.5	0.5
863	Kratochvil M.	0.9705882352941176	0.9473684210526315	0.9230769230769231	0.029411764705882353	0.05263157894736842	0.07692307692307693
864	Kindlmann D.	0.5	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5
865	Cachin P.	0.5	0.5	0.5	0.5	0.5	0.5
866	Bower J.	0.5	0.5	0.5	0.5	0.5	0.5
867	Melo D.	0.5	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5
868	Chekov P.	0.5	0.5	0.5	0.5	0.5	0.5
869	Agassi A.	0.9945054945054945	0.9736842105263158	0.9375	0.005494505494505495	0.02631578947368421	0.0625
